"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2011","95.77","95.34","97.71","94.10","","0.40%"
"05/01/2011","95.39","93.71","96.14","90.13","","1.77%"
"04/01/2011","93.73","90.55","94.21","90.48","","3.57%"
"03/01/2011","90.50","88.04","90.74","85.82","","2.88%"
"02/01/2011","87.97","86.85","88.75","85.21","","1.16%"
"01/01/2011","86.96","86.85","88.18","85.06","","0.01%"
"12/01/2010","86.95","83.36","88.00","83.08","","4.33%"
"11/01/2010","83.34","81.75","85.08","80.91","","1.82%"
"10/01/2010","81.85","84.91","86.41","81.40","","-3.67%"
"09/01/2010","84.97","82.92","86.52","81.83","","2.44%"
"08/01/2010","82.95","83.06","83.50","80.17","","-0.07%"
"07/01/2010","83.01","82.06","84.54","81.23","","1.17%"
"06/01/2010","82.05","78.97","82.58","77.47","","3.86%"
"05/01/2010","79.00","87.38","87.61","76.36","","-9.27%"
"04/01/2010","87.07","88.65","90.05","85.44","","-1.84%"
"03/01/2010","88.70","82.74","89.09","81.86","","7.16%"
"02/01/2010","82.77","84.69","86.23","81.75","","-2.78%"
"01/01/2010","85.14","89.79","91.06","84.94","","-5.15%"
"12/01/2009","89.76","85.87","90.09","85.23","","4.43%"
"11/01/2009","85.95","87.42","89.98","84.28","","-2.08%"
"10/01/2009","87.78","86.61","91.61","85.42","","1.28%"
"09/01/2009","86.67","87.75","89.42","85.89","","-1.34%"
"08/01/2009","87.85","88.76","90.67","87.15","","-0.86%"
"07/01/2009","88.61","88.69","90.03","83.97","","-0.10%"
"06/01/2009","88.70","89.25","91.53","86.81","","-0.73%"
"05/01/2009","89.35","86.44","89.77","84.08","","3.44%"
"04/01/2009","86.38","86.72","90.07","82.70","","-0.43%"
"03/01/2009","86.75","83.44","87.78","81.34","","4.13%"
"02/01/2009","83.31","77.42","84.80","76.17","","7.50%"
"01/01/2009","77.50","84.72","86.07","75.44","","-8.64%"
"12/01/2008","84.83","78.73","87.09","74.94","","7.82%"
"11/01/2008","78.68","85.21","86.72","76.33","","-7.49%"
"10/01/2008","85.05","94.67","95.28","78.77","","-10.12%"
"09/01/2008","94.63","98.65","98.86","92.95","","-4.22%"
"08/01/2008","98.80","102.95","103.83","98.52","","-4.05%"
"07/01/2008","102.97","103.94","105.11","102.83","","-0.91%"
"06/01/2008","103.92","101.08","104.70","100.25","","2.66%"
"05/01/2008","101.23","100.44","101.36","98.28","","0.90%"
"04/01/2008","100.33","100.42","102.81","99.58","","-0.09%"
"03/01/2008","100.42","99.61","100.78","97.36","","0.65%"
"02/01/2008","99.77","98.38","100.53","96.30","","1.35%"
"01/01/2008","98.44","98.48","99.37","95.09","","0.13%"
"12/01/2007","98.31","98.14","100.34","97.42","","0.12%"
"11/01/2007","98.19","99.50","100.75","96.77","","-1.41%"
"10/01/2007","99.59","98.56","99.98","96.43","","0.98%"
"09/01/2007","98.62","95.79","98.94","94.90","","2.97%"
"08/01/2007","95.78","98.65","100.28","92.19","","-2.86%"
"07/01/2007","98.60","100.71","101.87","97.63","","-2.22%"
"06/01/2007","100.84","99.34","100.94","97.69","","1.47%"
"05/01/2007","99.38","98.84","99.65","98.05","","0.44%"
"04/01/2007","98.94","96.84","99.29","96.70","","2.11%"
"03/01/2007","96.90","97.11","97.56","94.27","","-0.27%"
"02/01/2007","97.16","96.97","98.40","96.14","","0.12%"
"01/01/2007","97.04","97.71","98.09","95.57","","-0.67%"
"12/01/2006","97.69","96.61","97.75","95.86","","1.14%"
"11/01/2006","96.59","93.99","96.73","93.60","","2.73%"
"10/01/2006","94.02","94.46","94.93","93.29","","-0.51%"
"09/01/2006","94.50","95.31","95.47","93.08","","-0.88%"
"08/01/2006","95.34","93.11","95.72","92.69","","2.38%"
"07/01/2006","93.12","93.44","94.38","92.45","","-0.51%"
"06/01/2006","93.60","92.36","93.75","92.03","","1.33%"
"05/01/2006","92.37","91.70","92.97","90.33","","0.50%"
"04/01/2006","91.91","90.26","92.78","89.86","","1.84%"
"03/01/2006","90.25","88.22","90.84","88.06","","2.27%"
"02/01/2006","88.25","91.68","92.25","87.65","","-3.79%"
"01/01/2006","91.73","89.71","91.84","88.52","","2.16%"
"12/01/2005","89.79","91.06","93.16","88.30","","-1.44%"
"11/01/2005","91.10","90.33","91.53","89.14","","0.87%"
"10/01/2005","90.31","87.72","90.73","87.41","","2.92%"
"09/01/2005","87.75","88.21","89.44","86.65","","-0.61%"
"08/01/2005","88.29","87.35","89.18","85.95","","1.09%"
"07/01/2005","87.34","86.39","87.96","85.47","","1.01%"
"06/01/2005","86.47","86.94","87.09","84.74","","-0.57%"
"05/01/2005","86.97","87.77","88.25","86.51","","-0.67%"
"04/01/2005","87.56","89.52","91.15","87.51","","-2.20%"
"03/01/2005","89.53","89.94","91.04","88.24","","-0.56%"
"02/01/2005","90.03","87.17","90.62","85.50","","3.29%"
"01/01/2005","87.16","90.03","90.30","86.10","","-3.06%"
"12/01/2004","89.91","90.20","91.88","89.29","","-0.41%"
